Year,Value
1910,-0.02
1911,-0.3
1912,-1.2
1913,-0.29
1914,-0.07
1915,-0.2
1916,-0.04
1917,-0.26
1918,-0.22
1919,0.14
1920,0.04
1921,-0.22
1922,-0.29
1923,0.13
1924,0.06
1925,-0.02
1926,0.15
1927,-0.16
1928,-0.07
1929,-0.29
1930,0.11
1931,0.44
1932,-0.26
1933,-0.1
1934,-0.14
1935,0.23
1936,-0.25
1937,-0.06
1938,0.35
1939,0.14
1940,0
1941,0.11
1942,-0.32
1943,0.12
1944,-0.17
1945,0.4
1946,0.14
1947,-0.19
1948,0.08
1949,0.05
1950,-0.29
1951,0.16
1952,0.04
1953,0.27
1954,0.29
1955,0.29
1956,-0.3
1957,-0.11
1958,-0.19
1959,0.29
1960,-0.17
1961,-0.02
1962,-0.2
1963,0.11
1964,0
1965,-0.37
1966,0.38
1967,-0.07
1968,-0.29
1969,-0.49
1970,-0.19
1971,-0.26
1972,-0.23
1973,0.04
1974,0
1975,-0.04
1976,-0.25
1977,-0.16
1978,-0.54
1979,-0.26
1980,-0.16
1981,0.37
1982,-0.12
1983,0.32
1984,-0.1
1985,0.21
1986,-0.09
1987,0.4
1988,0.31
1989,0.08
1990,0.31
1991,0.16
1992,-0.31
1993,-0.07
1994,0.28
1995,0.71
1996,-0.25
1997,0.46
1998,1.23
1999,0.41
2000,0.89
2001,0.88
2002,0.62
2003,0.93
2004,0.34
2005,0.71
2006,0.81
2007,1.38
2008,0.77
2009,0.68
2010,1.24
2011,0.92
2012,0.86
2013,0.98
2014,1.08
2015,0.95
2016,1.6
2017,1.28
2018,1.15
2019,0.98
2020,1.1
2021,1.56
